kind	domain	layer	difficulty	verdict	module	count
map_decl	other	other	mechanical-rename	identity-bearing	subset_julia_vm/src/aot	4
map_decl	other	other	mechanical-rename	identity-bearing	subset_julia_vm/src/macro_runtime.rs	1
map_decl	other	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/aot	31
map_decl	other	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/base_loader.rs	3
map_decl	other	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/macro_runtime.rs	4
map_decl	other	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/stdlib_loader.rs	6
map_decl	other	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/unicode.rs	4
map_decl	other	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_lowering/src/include	2
map_decl	other	parser	mechanical-rename	identity-bearing	subset_julia_vm_parser/src/bin	1
map_decl	other	vm	mechanical-rename	identity-bearing	subset_julia_vm_vm/src/vm	1
map_decl	other	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/repl	23
map_decl	other	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_runtime/src/value.rs	1
map_decl	other	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/register_vm.rs	1
map_decl	other	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	23
map_decl	struct	cache	requires-serialization-format-change	identity-bearing	subset_julia_vm_compile/src/compile	4
map_decl	struct	compile	mechanical-rename	identity-bearing	subset_julia_vm_compile/src/compile	5
map_decl	struct	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_bytecode/src/method_table.rs	2
map_decl	struct	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_bytecode/src/program.rs	3
map_decl	struct	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_bytecode/src/runtime_types	1
map_decl	struct	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_bytecode/src/value	2
map_decl	struct	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_compile/src/compile	112
map_decl	struct	compile	requires-owner-context-plumbing	lexical-boundary	subset_julia_vm_bytecode/src/struct_registry.rs	1
map_decl	struct	inference	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_types/src/inference_core	11
map_decl	struct	inference	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_types/src/runtime_types	5
map_decl	struct	inference	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_types/src/types	13
map_decl	struct	lowering	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_lowering/src/lowering	1
map_decl	struct	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/aot	26
map_decl	struct	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/julia	1
map_decl	struct	vm	mechanical-rename	identity-bearing	subset_julia_vm_vm/src/vm	3
map_decl	struct	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/repl	5
map_decl	struct	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	49
map_decl	typevar	inference	requires-owner-context-plumbing	lexical-boundary	subset_julia_vm_types/src/inference_core	3
map_decl	typevar	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	1
